,math score,reading score,writing score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none
0,72,0.18188957072316003,0.39565153531427044,False,True,False,False,False,True,False,False,False,False,True,True
1,69,1.5341298195396635,1.3706773220419222,False,False,True,False,False,False,False,False,True,False,True,False
2,90,1.9097521108775812,1.7189008173017977,False,True,False,False,False,False,False,True,False,False,True,True
3,47,-0.9449773032905928,-1.693689436244983,True,False,False,False,False,False,False,False,False,False,False,True
4,76,0.6326363203286612,0.46529623436624556,True,False,True,False,False,False,False,False,True,False,True,True
5,71,1.0082586116665788,0.6742303315221709,False,True,False,False,False,False,False,False,False,False,True,True
6,88,1.9097521108775812,1.6492561182498227,False,True,False,False,False,False,False,False,True,False,True,False
7,40,-1.9967197190367623,-2.0419129315048585,True,True,False,False,False,False,False,False,True,False,False,True
8,64,-0.4191060954175082,-0.09186135804955536,True,False,False,True,False,False,True,False,False,False,False,False
9,38,-0.7196039284878423,-1.2758212419331323,False,True,False,False,False,False,True,False,False,False,False,True
10,58,-1.0675827619988856e-15,0.047428040054394875,True,False,True,False,False,False,False,False,False,False,True,True
11,40,-1.3205995946285105,-1.7633341352969583,True,False,False,True,False,False,False,False,False,False,True,True
12,65,0.8580096951314118,0.3260068362622954,False,True,False,False,False,False,True,False,False,False,True,True
13,78,0.18188957072316003,0.11707273910636999,True,False,False,False,False,False,False,False,True,False,True,False
14,50,-1.2454751363609269,-0.7186636495173314,False,False,False,False,False,False,False,True,False,False,True,True
15,69,0.40726294552591064,0.6742303315221709,False,False,True,False,False,False,False,False,False,True,True,True
16,88,1.45900536127208,1.231387923937972,True,False,True,False,False,False,True,False,False,False,True,True
17,18,-2.823088759980181,-2.8080046210765848,False,True,False,False,False,False,False,False,False,True,False,True
18,46,-2.071844177304346,-1.5544000381410328,True,False,True,False,False,False,False,True,False,False,False,False
19,54,-0.8698528450230093,-0.509729552361406,False,False,True,False,False,False,False,False,False,False,False,True
20,66,-0.04348380407959054,-0.37044015425745586,True,False,False,True,False,False,True,False,False,False,True,True
21,65,0.40726294552591064,0.11707273910636999,False,True,False,False,False,False,False,False,True,False,False,False
22,44,-1.1703506780933435,-1.066887144777207,True,False,False,True,False,False,False,False,True,False,True,True
23,69,-1.0675827619988856e-15,0.047428040054394875,False,False,True,False,False,False,False,False,False,False,True,True
24,74,0.10676511245557652,0.8135197296261212,True,False,False,True,False,True,False,False,False,False,False,False
25,73,-1.0675827619988856e-15,0.25636213721032025,True,False,False,False,False,False,False,True,False,False,False,True
26,69,-1.1703506780933435,-0.9275977466732568,True,True,False,False,False,False,False,False,True,False,True,True
27,67,-0.04348380407959054,0.46529623436624556,False,False,True,False,False,True,False,False,False,False,True,True
28,70,0.031640654187992986,-0.2311507561535056,True,False,True,False,False,False,True,False,False,False,True,True
29,62,0.031640654187992986,0.46529623436624556,False,False,False,True,False,False,False,True,False,False,True,True
30,69,-1.0675827619988856e-15,0.047428040054394875,False,False,False,True,False,False,False,False,False,False,True,True
31,63,-0.34398163714992464,-0.509729552361406,False,True,False,False,False,False,False,False,True,False,True,True
32,56,0.18188957072316003,-0.2311507561535056,False,False,False,False,True,False,False,True,False,False,False,True
33,40,-2.071844177304346,-2.1115576305568338,True,False,False,True,False,False,False,False,True,False,True,True
34,97,1.3087564447369129,0.9528091277300714,True,False,False,False,True,False,False,False,True,False,True,True
35,81,0.8580096951314118,0.7438750305741461,True,False,False,False,True,False,False,False,False,False,True,False
36,74,0.8580096951314118,1.0224538267820464,False,False,False,True,False,False,False,False,False,False,True,True
37,50,-0.4191060954175082,-0.6490189504653563,False,False,False,True,False,False,False,False,False,True,False,True
38,75,1.5341298195396635,1.3706773220419222,False,False,False,True,False,False,False,False,False,False,False,False
39,57,-1.0675827619988856e-15,0.047428040054394875,True,True,False,False,False,False,False,False,False,False,False,True
40,55,-0.6444794702202588,-0.9972424457252319,True,False,True,False,False,False,False,False,False,False,False,True
41,58,0.25701402899074355,-0.022216658997580244,False,False,True,False,False,False,False,False,False,False,True,True
42,53,-0.8698528450230093,-0.2311507561535056,False,True,False,False,False,False,False,False,False,False,True,True
43,59,-0.34398163714992464,-0.1615060571015305,True,True,False,False,False,False,False,False,True,False,False,False
44,50,-1.0675827619988856e-15,-0.9972424457252319,False,False,False,False,True,False,False,False,False,False,False,True
45,65,-1.1703506780933435,-0.7883083485693065,True,True,False,False,False,False,False,False,False,False,True,True
46,55,-0.34398163714992464,-0.440084853309431,False,False,False,False,False,False,False,False,False,False,True,False
47,66,0.10676511245557652,0.5349409334182207,False,False,True,False,False,False,True,False,False,False,True,True
48,57,0.33213848725832706,0.5349409334182207,False,False,False,True,False,False,False,False,False,False,False,False
49,82,1.0833830699341624,0.9528091277300714,True,False,True,False,False,False,True,False,False,False,True,False
50,53,-1.0952262198257599,-1.4151106400370825,True,False,False,False,True,False,False,False,True,False,True,True
51,77,-0.04348380407959054,-0.022216658997580244,True,False,False,False,True,False,False,False,False,False,False,False
52,53,-1.9215952607691786,-1.8329788343489333,True,False,True,False,False,False,False,False,True,False,True,True
53,88,0.6326363203286612,0.46529623436624556,True,False,False,True,False,False,True,False,False,False,True,True
54,71,-1.0675827619988856e-15,0.047428040054394875,False,False,True,False,False,False,False,False,False,False,False,False
55,33,-1.0675827619988856e-15,-1.7633341352969583,False,False,True,False,False,False,True,False,False,False,False,True
56,82,1.1585075282017459,1.231387923937972,False,False,False,False,True,False,False,False,False,False,True,False
57,52,-1.0952262198257599,-1.3454659409851075,True,False,False,True,False,False,False,False,False,False,True,True
58,58,-0.7947283867554258,-0.7186636495173314,True,False,False,True,False,False,False,False,True,False,True,False
59,0,-1.0675827619988856e-15,0.047428040054394875,False,False,True,False,False,False,False,False,False,False,False,True
